Jusidiction,States,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
Stamford, Connecticut,0.11,0.089,1.67,1.63,,,,,
Sterling Heights, Michigan,0.051,0.042,1.85,1.89,,,,,
Stockton, California,0.105,0.108,1.8,1.83,,,,,
Sunnyvale, California,0.056,0.049,1.83,1.78,,,,,
Sunrise Manor, Nevada,0.11,0.118,1.6,1.66,,,,,
Surprise, Arizona,0.024,0.013,1.87,1.87,,,,,
Syracuse, New York,0.264,0.292,1.09,1.08,,,,,
Tacoma, Washington,0.097,0.093,1.71,1.7,,,,,
Tallahassee, Florida,0.084,0.069,1.54,1.65,,,,,
Tampa, Florida,0.114,0.101,1.48,1.49,,,,,
Temecula, California,0.01,0.02,2.24,2.25,,,,,
Tempe, Arizona,0.111,0.094,1.57,1.65,,,,,
The Woodlands, Texas,0.033,0.041,1.97,1.9,,,,,
Thornton, Colorado,0.035,0.03,2.1,2.14,,,,,
Thousand Oaks, California,0.033,0.032,2.07,2.09,,,,,
Toledo, Ohio,0.147,0.133,1.45,1.43,,,,,
Topeka, Kansas,0.097,0.124,1.57,1.52,,,,,
Torrance, California,0.054,0.052,1.91,1.95,,,,,
Tucson, Arizona,0.144,0.117,1.49,1.54,,,,,
Tulsa, Oklahoma,0.093,0.088,1.63,1.62,,,,,
Tyler, Texas,0.067,0.064,1.61,1.63,,,,,
Vallejo, California,0.09,0.076,1.94,2.01,,,,,
Vancouver, Washington,0.055,0.076,1.72,1.75,,,,,
Victorville, California,0.065,0.066,1.92,1.95,,,,,
Virginia Beach, Virginia,0.049,0.034,1.93,1.98,,,,,
Visalia, California,0.069,0.059,1.75,1.84,,,,,
Vista, California,0.031,0.033,2.15,2.14,,,,,
Waco, Texas,0.087,0.088,1.62,1.67,,,,,
Warren, Michigan,0.078,0.072,1.65,1.73,,,,,
Washington, District of Columbia,0.362,0.373,0.89,0.86,,,,,
Waterbury, Connecticut,0.204,0.206,1.36,1.32,,,,,
West Covina, California,0.041,0.052,2.3,2.22,,,,,
West Jordan, Utah,0.019,0.013,2.14,2.3,,,,,
West Palm Beach, Florida,0.086,0.104,1.46,1.43,,,,,
West Valley City, Utah,0.05,0.043,2.16,2.1,,,,,
Westminster, Colorado,0.059,0.046,1.96,1.91,,,,,
Wichita Falls, Texas,0.087,0.068,1.75,1.63,,,,,
Wichita, Kansas,0.077,0.067,1.73,1.8,,,,,
Wilmington, North Carolina,0.101,0.085,1.63,1.56,,,,,
Winston-Salem, North Carolina,0.113,0.099,1.63,1.68,,,,,
Worcester, Massachusetts,0.196,0.193,1.3,1.3,,,,,
Yonkers, New York,0.246,0.235,1.26,1.25,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
